ID_Tiempo_Costo,ID_Ruta,Tiempo_Transporte (hrs),Costo_Total ($),Fecha_Transporte
TC420,R274,4.31,95,2021-01-11
TC421,R105,5.73,119,2022-06-06
TC422,R335,4.56,335,2020-06-11
TC423,R483,9.32,355,2016/11/30
TC424,R245,5.42,116,2022-03-18
TC425,R049,8.0,337,2019-07-04
TC426,R433,5.93,277,2021-09-25
TC427,R409,5.01,159,2020-11-18
TC428,R215,7.57,130,2023-08-29
TC429,R027,7.98,327,2024-12-07
TC430,R132,6.36,216,2023-04-12
TC431,R311,1.51,93,2018-10-20
TC432,R172,1.74,228,2019-03-08
TC433,R082,7.3,330,2017-08-16
TC434,R041,5.27,187,2021-05-20
TC435,R098,7.46,291,2023-04-24
TC436,R481,7.14,148,2018-01-14
TC437,R205,7.21,486,2021-12-24
TC438,R416,8.89,475,2022-04-15
TC439,R258,1.59,350,2024-10-15
TC440,R458,2.68,276,2021-11-19
TC441,R384,6.89,200,2024-01-20
TC442,R232,4.31,98,2018-10-07
TC443,R011,1.42,473,2018-12-11
TC444,R147,1.47,268,2023-03-21
TC445,R377,4.53,225,2016/12/28
TC446,R013,8.5,183,2016/03/12
TC447,R133,1.6,486,2016/10/10
TC448,R498,8.14,416,2021-09-22
TC449,R177,8.53,264,2020-05-04
TC450,R062,2.15,286,2020-04-29
TC451,R008,3.81,386,2016/03/06
TC452,R496,7.11,220,2019-10-01
TC453,R374,3.05,226,2021-10-02
TC454,R181,4.31,50,2023-01-08
TC455,R145,4.61,294,2018-05-10
TC456,R218,4.15,468,2017-04-30
TC457,R492,1.48,73,2019-07-21
TC458,R471,1.06,489,2024-12-14
TC459,R269,3.29,215,2017-02-09
TC460,R036,2.75,419,2019-08-01
TC461,R413,3.57,159,2020-07-14
TC462,R058,6.05,440,2019-07-14
TC463,R399,9.33,336,2019-01-28
TC464,R336,8.48,64,2020-07-28
TC465,R126,9.55,489,2017-04-03
TC466,R334,2.42,497,2016/04/20
TC467,R458,4.47,170,2017-06-22
TC468,R270,7.07,258,2018-04-18
TC469,R234,5.8,113,2022-03-10
TC470,R241,5.51,286,2016/10/14
TC471,R249,2.69,369,2019-10-16
TC472,R287,4.03,124,2024-06-23
TC473,R058,4.48,457,2018-02-23
TC474,R089,3.6,291,2017-12-26
TC475,R134,8.98,264,2017-01-21
TC476,R161,7.98,251,2018-08-07
TC477,R099,7.76,373,2024-07-22
TC478,R471,4.7,259,2021-05-07
TC479,R313,1.75,393,2020-01-09
TC480,R096,6.34,249,2020-10-08
TC481,R219,8.48,147,2021-05-12
TC482,R304,5.93,121,2021-09-28
TC483,R429,5.66,159,2020-04-12
TC484,R101,1.23,333,2021-01-24
TC485,R107,9.23,119,2019-03-02
TC486,R245,3.36,459,2022-07-03
TC487,R039,9.97,104,2017-11-04
TC488,R073,8.3,201,2020-06-26
TC489,R464,9.03,181,2021-08-02
TC490,R026,9.88,146,2018-09-09
TC491,R370,7.03,103,2017-07-03
TC492,R238,5.44,296,2021-07-23
TC493,R064,6.95,251,2019-02-23
TC494,R474,6.78,434,2020-05-15
TC495,R170,3.35,363,2021-09-11
TC496,R228,4.85,195,2017-07-01
TC497,R058,5.31,461,2022-08-22
TC498,R025,4.71,251,2022-05-11
TC499,R107,9.66,489,2019-04-30
TC500,R473,5.61,285,2016/08/05
TC501,R107,3.56,235,2016/11/15
TC502,R336,2.01,332,2020-08-11
TC503,R233,5.59,96,2024-02-05
TC504,R343,7.21,358,2025-01-16
TC505,R329,2.51,102,2017-01-26
TC506,R270,7.66,439,2018-09-04
TC507,R222,2.06,314,2024-06-25
TC508,R011,4.07,259,2023-11-08
TC509,R149,4.18,356,2017-11-02
TC510,R243,4.89,113,2023-06-08
TC511,R265,4.56,192,2024-07-02
TC512,R276,2.19,369,2020-04-15
TC513,R278,8.28,324,2023-05-05
TC514,R037,8.61,145,2023-10-30
TC515,R244,5.2,433,2016/09/11
TC516,R090,9.53,62,2024-08-29
TC517,R258,3.7,260,2020-06-11
TC518,R192,6.51,475,2021-11-02
TC519,R311,4.65,263,2016/08/12
TC520,R420,8.04,138,2023-11-27
TC521,R152,2.64,500,2021-01-09
TC522,R157,8.47,131,2017-05-30
TC523,R159,1.22,240,2019-01-28
TC524,R072,5.41,125,2019-12-14
TC525,R313,4.47,166,2022-01-22
TC526,R487,5.28,88,2020-11-10
TC527,R429,1.02,444,2020-03-03
TC528,R211,7.51,405,2023-10-12
TC529,R374,5.81,198,2019-01-22
TC530,R231,6.56,282,2018-06-30
TC531,R006,1.19,79,2023-03-19
TC532,R258,7.74,353,2023-03-07
TC533,R223,1.55,471,2017-08-26
TC534,R284,8.67,303,2022-04-08
TC535,R085,1.28,56,2021-04-02
TC536,R357,8.27,211,2017-07-02
TC537,R187,5.84,450,2021-06-08
TC538,R303,2.06,70,2024-05-20
TC539,R473,6.91,93,2020-11-10
TC540,R371,8.64,499,2017-09-02
TC541,R292,6.42,148,2024-02-09
TC542,R062,6.48,185,2020-08-12
TC543,R480,7.37,400,2021-10-19
TC544,R261,8.59,245,2024-10-26
TC545,R455,5.06,219,2018-11-25
TC546,R084,6.87,96,2016/12/18
TC547,R400,1.39,187,2016/07/18
TC548,R149,1.37,416,2018-06-03
TC549,R001,1.07,314,2020-08-04
TC550,R016,4.25,366,2019-07-14
TC551,R050,3.74,284,2016/02/12
TC552,R206,6.03,476,2022-08-07
TC553,R278,8.97,171,2016/01/26
TC554,R400,7.85,112,2020-01-11
TC555,R002,6.89,488,2017-12-21
TC556,R434,2.98,490,2024-11-20
TC557,R180,8.65,94,2018-07-05
TC558,R432,8.08,381,2024-01-10
TC559,R176,9.75,181,2016/07/13
TC560,R128,8.33,77,2016/10/07
TC561,R350,3.41,167,2021-02-27
TC562,R107,2.2,216,2024-08-16
TC563,R154,5.05,107,2017-07-12
TC564,R423,8.52,313,2019-08-12
TC565,R094,1.57,360,2021-01-04
TC566,R424,4.82,466,2016/12/05
TC567,R196,5.79,279,2024-10-12
TC568,R185,6.05,124,2024-02-02
TC569,R468,3.19,336,2022-09-01
TC570,R006,9.87,163,2018-04-11
TC571,R036,2.24,201,2016/07/12
TC572,R204,4.53,456,2022-01-21
TC573,R308,8.94,205,2018-02-09
TC574,R380,8.37,178,2018-05-31
TC575,R353,8.86,365,2020-08-10
TC576,R374,7.19,281,2017-06-10
TC577,R076,7.67,394,2016/08/16
TC578,R106,4.08,460,2017-09-16
TC579,R429,6.29,240,2020-12-03
TC580,R063,4.25,176,2024-09-28
TC581,R336,5.26,122,2023-12-16
TC582,R422,8.06,494,2019-04-24
TC583,R484,5.62,226,2019-05-08
TC584,R127,3.79,186,2016/05/09
TC585,R271,3.15,465,2017-04-28
TC586,R322,9.7,229,2017-11-17
TC587,R324,1.18,456,2023-06-13
TC588,R358,9.56,70,2017-11-10
TC589,R104,3.19,453,2024-05-09
TC590,R098,8.35,184,2020-08-22
TC591,R038,2.41,269,2016/09/14
TC592,R500,5.02,423,2019-02-10
TC593,R057,5.3,110,2017-11-16
TC594,R421,7.41,239,2017-05-14
TC595,R459,4.11,154,2020-11-26
TC596,R474,3.53,306,2016/10/17
TC597,R333,9.1,161,2021-11-19
TC598,R019,8.03,58,2016/01/11
TC599,R392,2.37,491,2022-11-07
TC600,R165,4.37,140,2024-08-08
TC601,R428,6.33,422,2021-07-06
TC602,R340,1.52,150,2024-02-23
TC603,R343,8.96,125,2025-01-13
TC604,R329,4.18,95,2018-05-10
TC605,R329,6.01,490,2019-03-16
TC606,R005,3.15,387,2019-10-02
TC607,R436,5.28,388,2022-01-25
TC608,R122,6.93,177,2021-05-16
TC609,R220,8.93,428,2020-07-05
TC610,R373,2.33,310,2017-12-20
TC611,R331,5.03,226,2023-11-02
TC612,R394,3.2,323,2021-06-05
TC613,R037,8.39,252,2023-11-09
TC614,R168,1.09,447,2021-02-28
TC615,R165,3.67,463,2024-05-14
TC616,R067,7.73,346,2017-12-21
TC617,R046,6.45,60,2023-01-16
TC618,R206,1.66,355,2021-01-03
TC619,R471,9.36,280,2021-03-29
TC620,R088,2.25,180,2025-01-16
TC621,R277,6.23,343,2016/04/18
TC622,R455,7.69,447,2020-12-05
TC623,R046,6.58,122,2024-03-25
TC624,R463,9.01,431,2020-10-01
TC625,R486,3.48,83,2023-01-15
TC626,R075,1.51,232,2022-01-28
TC627,R496,2.22,165,2023-06-14
TC628,R183,6.04,432,2021-10-13
TC629,R373,4.69,109,2021-12-19
TC630,R474,5.54,354,2020-06-23
TC631,R322,1.96,63,2017-03-02
TC632,R336,7.54,460,2022-10-14
TC633,R236,5.44,442,2019-07-27
TC634,R333,2.51,423,2023-05-11
TC635,R380,9.2,265,2023-10-18
TC636,R401,5.21,426,2023-10-19
TC637,R388,7.12,305,2023-02-06
TC638,R396,1.07,63,2022-01-07
TC639,R198,7.15,498,2024-11-15
TC640,R306,3.78,389,2024-11-16
TC641,R500,2.0,499,2024-09-30
TC642,R187,9.53,482,2023-04-29
TC643,R229,7.8,309,2020-05-31
TC644,R020,6.16,103,2023-10-22
TC645,R036,7.25,96,2021-03-25
TC646,R171,7.37,321,2021-08-13
TC647,R014,9.18,373,2021-04-30
TC648,R051,9.51,200,2019-12-26
TC649,R386,9.49,227,2021-10-05
TC650,R227,9.97,164,2018-06-28
TC651,R363,7.94,117,2020-03-31
TC652,R434,4.57,111,2018-03-14
TC653,R260,9.8,107,2024-11-13
TC654,R413,5.27,201,2021-12-11
TC655,R212,9.1,397,2021-10-03
TC656,R441,3.18,345,2018-12-25
TC657,R026,6.76,51,2024-06-15
TC658,R342,6.91,99,2023-06-06
TC659,R200,5.32,369,2019-02-13
TC660,R487,8.85,431,2021-07-16
TC661,R046,8.4,165,2023-09-16
TC662,R399,9.12,233,2022-02-11
TC663,R486,9.46,486,2021-12-16
TC664,R114,1.95,323,2020-08-05
TC665,R008,8.61,298,2023-05-07
TC666,R020,2.73,93,2019-10-24
TC667,R352,6.79,485,2017-12-23
TC668,R408,4.99,389,2019-08-18
TC669,R040,8.93,492,2017-07-31
TC670,R207,8.94,303,2024-08-22
TC671,R475,9.75,174,2021-09-30
TC672,R209,4.87,67,2023-12-16
TC673,R275,2.26,162,2017-10-04
TC674,R460,6.01,211,2016/07/10
TC675,R423,7.75,228,2020-07-29
TC676,R210,7.66,333,2024-11-02
TC677,R478,7.97,344,2020-06-27
TC678,R332,3.87,253,2022-12-20
TC679,R013,1.98,173,2016/10/04
TC680,R008,6.46,264,2016/11/03
TC681,R301,5.98,432,2024-10-29
TC682,R327,3.71,52,2023-02-11
TC683,R381,6.82,143,2021-04-23
TC684,R058,3.62,466,2024-08-20
TC685,R439,8.16,201,2023-02-04
TC686,R127,4.25,409,2023-08-04
TC687,R155,7.86,473,2022-08-28
TC688,R135,3.49,386,2017-12-04
TC689,R283,8.97,134,2023-07-23
TC690,R011,9.64,469,2016/01/20
TC691,R269,3.04,399,2016/10/23
TC692,R122,7.16,497,2019-10-17
TC693,R046,7.52,82,2022-11-04
TC694,R283,2.55,303,2017-10-25
